dataset,graph_id,label,num_nodes_in_graph,cascade_size,num_valid_times,lifetime,mean_interarrival,median_interarrival,std_interarrival,burstiness,t25,t50,t75
gossipcop,0,0,57,56,56,2892825.0,52596.818181818184,58.0,377664.9612546737,0.755512477772469,7180.0,11264.0,11342.0
gossipcop,1,0,54,53,53,278630.0,5358.2692307692305,53.5,20554.90950442758,0.5864444663061492,51489.0,51605.0,85385.0
gossipcop,2,0,119,118,118,123291.0,1053.7692307692307,242.0,2497.85620008803,0.4065988932200652,14890.0,19852.0,62557.0
gossipcop,3,0,77,76,76,476089.0,6347.8533333333335,240.0,33048.56622313827,0.6777446577735727,12060.0,22648.0,24822.0
gossipcop,4,0,22,21,21,112542.0,5627.1,525.0,11961.276653852632,0.3601342397034218,1965.0,3740.0,46786.0
gossipcop,5,0,85,84,84,7029509.0,84692.8795180723,244.0,759511.3449786558,0.7993545233238749,8543.0,15403.0,24813.0
gossipcop,6,0,75,74,74,4719572.0,64651.67123287671,233.0,355943.8838672392,0.692570829867722,1398.0,4788.0,81467.0
gossipcop,7,0,115,114,114,1572334.0,13914.46017699115,166.0,130653.39858152671,0.807502714690774,6122.0,50071.0,52406.0
gossipcop,8,0,103,102,102,245075.0,2426.4851485148515,97.0,10989.597549018044,0.6382721837334736,2721.0,11559.0,27144.0
gossipcop,9,0,107,106,106,2360841.0,22484.2,166.0,163400.49356377052,0.7580844385954084,1791.0,9362.0,56723.0
gossipcop,10,0,193,192,192,913459.0,4782.507853403142,80.0,42886.336157502854,0.799344500474609,3160.0,26326.0,30075.0
gossipcop,11,0,71,70,70,148400.0,2150.7246376811595,62.0,4708.331572811957,0.3728802996566964,2891.0,6990.0,31197.0
gossipcop,12,0,150,149,149,1189686.0,8038.418918918919,62.0,74503.17896274116,0.8052274459129419,2099.0,6997.0,13998.0
gossipcop,13,0,82,81,81,1782393.0,22279.9125,49.5,115418.8412944561,0.676396308811082,2753.0,21619.0,21855.0
gossipcop,14,0,76,75,75,4780750.0,64604.72972972973,218.5,496079.64826882543,0.7695504556044677,8162.0,8297.0,33610.0
gossipcop,15,0,65,64,64,35933085.0,570366.4285714285,51.0,4452318.544720014,0.7728838533157462,2343.0,6070.0,6201.0
gossipcop,16,0,23,22,22,3791181.0,180532.42857142858,270.0,746696.679531067,0.6105980129530779,477.0,1739.0,9252.0
gossipcop,17,0,163,162,162,11561855.0,71812.76397515528,102.0,892478.2282988741,0.8510558232929178,11372873.0,11386777.0,11391220.0
gossipcop,18,0,66,65,65,2574814.0,40231.46875,169.5,312826.0066655449,0.7720967743133155,8633.0,27318.0,31512.0
gossipcop,19,0,54,53,53,837010.0,16096.346153846154,31.0,96268.7489720803,0.7134991763090284,8302.0,8477.0,8608.0
gossipcop,20,0,112,111,111,13112769.0,119206.9909090909,551.0,1130805.6628847136,0.8092707453043836,51861.0,82215.0,122848.0
gossipcop,21,0,41,40,40,2724247.0,69852.48717948717,597.0,358835.5459051825,0.6741103936265433,1347.0,4094.0,32878.0
gossipcop,22,0,67,66,66,2132210.0,32803.230769230766,125.0,249135.3848432781,0.767302320769604,1305.0,7650.0,29334.0
gossipcop,23,0,64,63,63,86108.0,1388.8387096774193,76.5,3681.9386513153568,0.45221862022137477,1171.0,2910.0,4568.0
gossipcop,24,0,102,101,101,250860.0,2508.6,117.5,14095.939728162855,0.6978416696796264,8013.0,27020.0,28560.0
gossipcop,25,0,44,43,43,120346.0,2865.3809523809523,15.0,8429.92465354223,0.49264215553789603,6561.0,6706.0,6817.0
gossipcop,26,0,42,41,41,262998.0,6574.95,579.0,19509.84987762592,0.4958788236179167,1501.0,7437.0,24696.0
gossipcop,27,0,71,70,70,400988.0,5811.420289855072,87.0,26673.723749215133,0.6422105881466544,2136.0,7917.0,11735.0
gossipcop,28,0,91,90,90,246279.0,2767.179775280899,110.0,17996.49291524823,0.7334595072341816,2086.0,20688.0,59321.0
gossipcop,29,0,114,113,113,2015459.0,17995.16964285714,146.5,111706.10407775464,0.7225136018074833,4708.0,18995.0,24043.0
gossipcop,30,0,86,85,85,2555595.0,30423.75,132.0,106353.00305047416,0.5551327353300622,4805.0,15461.0,27127.0
gossipcop,31,0,26,25,25,1772099.0,73837.45833333333,142.0,347729.7893322941,0.6497002139411995,552.0,1328.0,3267.0
gossipcop,32,0,135,134,134,279676268.0,2102829.082706767,304.0,16729181.638355833,0.7766750333935541,248603048.0,248626161.0,248806297.0
gossipcop,33,0,58,57,57,7275192.0,129914.14285714286,179.0,536439.120500288,0.6100742654052042,1446.0,3126.0,26741.0
gossipcop,34,0,74,73,73,1171662.0,16273.083333333334,58.0,132101.62450960395,0.7806488239146623,6176.0,11812.0,25867.0
gossipcop,35,0,113,112,112,25763252.0,232101.36936936938,27.0,2096014.4244499363,0.8006101157119819,15461.0,15629.0,47930.0
gossipcop,36,0,100,99,99,715465.0,7300.663265306122,106.5,43345.98492056155,0.7117020167449783,3864.0,26270.0,31495.0
gossipcop,37,0,32,31,31,411444.0,13714.8,172.0,32234.242280945065,0.403043052947918,630.0,1530.0,12231.0
gossipcop,38,0,33,32,32,264243.0,8523.967741935483,493.0,29131.226225239065,0.5472620457424201,1083.0,10413.0,40983.0
gossipcop,39,0,57,56,56,1677745.0,30504.454545454544,45.0,184307.90272089586,0.7159897602386865,11139.0,17139.0,19118.0
gossipcop,40,0,98,97,97,41277392.0,429972.8333333333,156.5,3167499.9117691503,0.7609583928502649,31148110.0,31150576.0,31229760.0
gossipcop,41,0,88,87,87,1956266.0,22747.279069767443,129.5,73757.47578817383,0.5285770301525078,4956.0,20273.0,30421.0
gossipcop,42,0,152,151,151,1120095.0,7467.3,711.0,43880.678921783634,0.709149214563064,25934.0,87909.0,144550.0
gossipcop,43,0,79,78,78,2366176.0,30729.55844155844,43.0,213981.02808951683,0.7488497831077189,2400.0,4299.0,45085.0
gossipcop,44,0,68,67,67,243725.0,3692.8030303030305,56.5,24748.45427815993,0.7403206904496304,2237.0,14128.0,14344.0
gossipcop,45,0,44,43,43,369004.0,8785.809523809523,11.0,30827.052767734236,0.5564163246196401,14545.0,14648.0,14727.0
gossipcop,46,0,20,19,19,75846.0,4213.666666666667,1884.5,5157.768714387173,0.10074252335231268,4051.0,32182.0,41121.0
gossipcop,47,0,74,73,73,237148.0,3293.722222222222,116.5,10485.580041739628,0.5219319296251209,9821.0,10020.0,226409.0
gossipcop,48,0,56,55,55,1730859.0,32052.944444444445,48.0,192396.88813524647,0.714386559561687,7813.0,8004.0,15298.0
gossipcop,49,0,11,10,10,243252.0,27028.0,550.0,57216.417160345394,0.35834323718907934,318.0,936.0,27881.0
gossipcop,50,0,46,45,45,175654.0,3992.1363636363635,104.5,10803.723879441899,0.4603711716587823,874.0,1504.0,5849.0
gossipcop,51,0,48,47,47,129072.0,2805.913043478261,114.0,8400.741193557518,0.49924161411078927,1097.0,3923.0,34811.0
gossipcop,52,0,164,163,163,1899687.0,11726.462962962964,150.0,89350.91484931267,0.7679705742912771,14860.0,26606.0,34826.0
gossipcop,53,0,47,46,46,959633.0,21325.17777777778,628.0,115958.20697116869,0.6893261654820697,40190.0,79790.0,87720.0
gossipcop,54,0,45,44,44,513180.0,11934.418604651162,708.0,45742.01001432219,0.5861595840653285,3684.0,10992.0,49575.0
gossipcop,55,0,47,46,46,44406.0,986.8,31.0,3013.97955902528,0.5066961398690927,6362.0,6992.0,8696.0
gossipcop,56,0,59,58,58,85180.0,1494.3859649122808,69.0,4302.662923933967,0.4844321676197907,782.0,2715.0,4243.0
gossipcop,57,0,7,6,6,789052.0,157810.4,9756.0,272218.92516619776,0.26604819362489096,2888.0,72161.0,781977.0
gossipcop,58,0,111,110,110,2566317.0,23544.19266055046,195.0,215560.09285683915,0.8030633988043837,6862.0,10456.0,17831.0
gossipcop,59,0,57,56,56,124813.0,2269.327272727273,52.0,10318.180962050426,0.6394318509429202,1155.0,1937.0,3852.0
gossipcop,60,0,34,33,33,82231.0,2569.71875,133.0,5655.170500493194,0.3751359631144187,743.0,1699.0,40014.0
gossipcop,61,0,115,114,114,325436.0,2879.9646017699115,363.0,10567.864257005725,0.5716833353526007,75572.0,91569.0,105536.0
gossipcop,62,0,61,60,60,270605.0,4586.525423728814,39.0,14142.535489786196,0.5102236631181922,3061.0,10286.0,10464.0
gossipcop,63,0,164,163,163,902595.0,5571.574074074074,176.5,24978.06068241467,0.6352444722508068,4677.0,20356.0,33433.0
gossipcop,64,0,152,151,151,586068.0,3907.12,63.0,33863.201363706496,0.7931116358594528,8166.0,29704.0,33909.0
gossipcop,65,0,30,29,29,370971.0,13248.964285714286,1242.0,49484.57440779048,0.5776114479865602,1777.0,11194.0,26029.0
gossipcop,66,0,74,73,73,56772.0,788.5,47.0,2156.822302472887,0.4645747262783588,31804.0,32403.0,36093.0
gossipcop,67,0,83,82,82,242382.0,2992.3703703703704,56.0,10640.683068258451,0.5610124490685873,1986.0,11595.0,29552.0
gossipcop,68,0,56,55,55,100298.0,1857.3703703703704,60.5,3581.637088427045,0.31701863457968416,4626.0,4782.0,17707.0
gossipcop,69,0,53,52,52,505490.0,9911.56862745098,676.0,44247.34616003625,0.6339820077140493,68862.0,70729.0,103715.0
gossipcop,70,0,42,41,41,73195.0,1829.875,232.5,4642.884578510972,0.4345920073796548,1419.0,5131.0,28171.0
gossipcop,71,0,91,90,90,25203253.0,283182.6179775281,99.0,1882279.650727656,0.7384552738969179,2143.0,7448.0,14501.0
gossipcop,72,0,56,55,55,2568753.0,47569.5,305.0,301647.5263729452,0.7275648298476816,1358.0,7952.0,26005.0
gossipcop,73,0,104,103,103,173085.0,1696.9117647058824,63.5,10387.681155403845,0.7191611209539237,1132.0,3238.0,50696.0
gossipcop,74,0,43,42,42,369623.0,9015.19512195122,1225.0,38017.735881712935,0.6166432782490685,3166.0,18677.0,345472.0
gossipcop,75,0,72,71,71,1358055.0,19400.785714285714,32.5,150623.73532053715,0.7717883797442109,1311.0,9477.0,9675.0
gossipcop,76,0,136,135,135,2102804.0,15692.567164179105,135.5,155655.36549158886,0.8168338897241914,3981.0,10857.0,30192.0
gossipcop,77,0,182,181,181,2649473.0,14719.294444444444,223.0,147504.25589730917,0.8185307322711708,22774.0,46252.0,51951.0
